Day,Date,Meal,Items
Monday,13.04.2026,Breakfast,Namkecen-Jalebi | Imly Chutany | Cornflakes / Chocos
Tuesday,14.04.2026,Breakfast,"Peanut Butter / | Dosa, Shambhar | Cornflakes / Chocos"
Wednesday,15.04.2026,Breakfast,"Banana-01, Butter/Ege | Peanut Butter / Jam | ee Upma | Cornflakes/Chocs | Banana- | Butter/Egg"
Thursday,16.04.2026,Breakfast,"Basen Chilla | Green Chutany | Milk, Comflakes/Chocos"
Friday,17.04.2026,Breakfast,"Banana-0}, Butter/Ege | Peanut Butter / Jam | Soup/Dry Maggi | Cormflakes/Chocos | . . Peanut Butter / Jam"
Saturday,18.04.2026,Breakfast,Kulch-W.Matar | NariyalChutany | Cornflakes / Chocos
Sunday,19.04.2026,Breakfast,"Banana-Ol, Butter/Egg | Peanut Butter / Jam | Vada Sambhar | Dahi, Milk, Comflakes/ | Banana-01, Butter/Ege"
Monday,13.04.2026,Lunch,Dal Mix | Dahi-Bengan | Water Melon
Tuesday,14.04.2026,Lunch,Jam Nimbu Pant | Sev Tomata | Dal Moong-(uw) | Jeera-Rice | Boondi Raita
Wednesday,15.04.2026,Lunch,"Rasna | Grapes | Sindhi-Kadhi | Alu-Chokha | Jeera Rice, | Kharbuja, Jal-jeera"
Thursday,16.04.2026,Lunch,Dal Navratan | Louki -Chana | Sambhar | Rasna | Water Melon
Friday,17.04.2026,Lunch,"Dal Punjabi | Dahi -Alu | Masala Khichdi, | Nimbu-Pani"
Saturday,18.04.2026,Lunch,Kharbuja | Alu-Matar | Chole Bhature | Mix Fruit | Lassi
Sunday,19.04.2026,Lunch,"Hari Chutney | Rajma Masala | Soya-been Curry | Tohri, Rouafja | Papaya"
Monday,13.04.2026,Dinner,Tori Masala | Gulab Jamun
Tuesday,14.04.2026,Dinner,Chola | Alu-curry | Puri | Hari Chutney
Wednesday,15.04.2026,Dinner,Sawal- Kheer | Dal Makhani | Sahi Paneer-Pancer / | Chicken Curry | Fruit-Custard
Thursday,16.04.2026,Dinner,Tori | Dal Mix | Onion-Rice | Rasam | Ice-Cream Choclate
Friday,17.04.2026,Dinner,"Egg Curry/Malai Kofta | Dal Muradabadi | Garlic-Rice, | Papdi Chat"
Saturday,18.04.2026,Dinner,Dal Lasun Tadka | Alu-Gobhi-Matar | Tamrind Rice | Ice Cream-Tuty fruity
Sunday,19.04.2026,Dinner,", | Dal Makhani | Kadai-Paneer / | Chicken Kadahi | Jalebi Rabdi"
